packageName,policyEntity,policyAction,policyData,policySentences,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences
com.agnitus.playfivelittlemonkeysbook,we,collect,pii,"If we learn that we have collected personal information from a child under age 13, we will delete that information as quickly as possible.||You can recognize when an affiliated business is associated with such a transaction or service, and we may share your Personal Information with that affiliated business only to the extent that it is related to such transaction or service.||We neither rent nor sell your Personal Information in personally identifiable form to anyone.||In certain cases, we may also share some Personal Information with third parties, but only as described below.||However, we may share your Personal Information with third parties as described in this section: Aggregated Personal Information that's no longer personally identifiable.||We gather various types of Personal Information from our users, as explained in more detail below, and we use this Personal Information internally in connection with our Services, including to personalize, provide, and improve our services, to allow you to set up a user account and profile, to contact you and allow other users to contact you, to fulfill your requests for certain products and services, and to analyze how you use the Services.||If you believe that a child under 13 may have provided us personal information, please contact us at support@agnitus.com.||What Personal Information can I access?||For example, through the registration process and through your account settings, we may collect Personal Information such as your name, email address, and third-party account credentials (for example, your login credentials for Facebook or other third party sites).",N1,we,not_collect,email address,"Please note that if you've opted not to receive legal notice emails from us (or you haven't provided us with your email address), those legal notices will still govern your use of the Services, and you are still responsible for reading and understanding them."
com.agnitus.playfivelittlemonkeysbook,we,collect,email address,"For example, through the registration process and through your account settings, we may collect Personal Information such as your name, email address, and third-party account credentials (for example, your login credentials for Facebook or other third party sites).||For example, if you've given us your email address, we may send you promotional email offers on behalf of other businesses, or email you about your use of the Services.",C1,we,not_collect,email address,"Please note that if you've opted not to receive legal notice emails from us (or you haven't provided us with your email address), those legal notices will still govern your use of the Services, and you are still responsible for reading and understanding them."
com.agnitus.playfivelittlemonkeysbook,we,not_collect,email address,"Please note that if you've opted not to receive legal notice emails from us (or you haven't provided us with your email address), those legal notices will still govern your use of the Services, and you are still responsible for reading and understanding them.",C1,we,collect,email address,"For example, through the registration process and through your account settings, we may collect Personal Information such as your name, email address, and third-party account credentials (for example, your login credentials for Facebook or other third party sites).||For example, if you've given us your email address, we may send you promotional email offers on behalf of other businesses, or email you about your use of the Services."
co.touchlab.android.onesecondeveryday,we,collect,pii,"We collect Personal Data about you that you provide to us or that we obtain while you are using our Services.||We will receive personal data about you from various third parties as set out below technical Data from the following parties:||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||Most commonly, we will use your personal data in the following circumstances: where we need to perform the contract we are about to enter into or have entered into with you.||If a child under the age of 16 has provided us with Personal Data, we ask that a parent or guardian contact us at privacy@1secondeveryday.com.||We do not use your personal data for activities where our interests are overridden by the impact on you (unless we have your consent or are otherwise required or permitted to by law).||We will only use your personal data when the law allows us to.||We collect this personal data by using cookies, server logs and other similar technologies.||We have set out below, in a table format, a description of all the ways we plan to use your personal data, and which of the legal bases we rely on to do so.||Most commonly, we will use your personal data in the following circumstances: where it is necessary for our legitimate interests (or those of a third party) and your interests and fundamental rights do not override those interests.||We may collect personal data through behavioral tracking or associate personal information with other information collected through behavioral tracking as described in this privacy policy or our cookie policy.||Most commonly, we will use your personal data in the following circumstances: where we need to comply with a legal obligation.||We will only use your personal data for the purposes for which we collected it, unless we reasonably consider that we need to use it for another reason and that reason is compatible with the original purpose.||If you believe that a child under age 16 (or other age applicable in a different jurisdiction) has provided personal data to us on this website without the consent of a parent or guardian, or if you wish to delete your child's personal data collected from this website, please notify us at privacy@1secondeveryday.com.||Purposes for which we will use your personal data||However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.||We use Personal Data to provide you with our services, to build features that will make our services easier to use and available on our Sites, to contact you about our services, and to send advertisements, marketing material or other offers that we think might be of interest to you, to perform data analytics, or for other purposes permitted by law.||We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||However, please know that we do not sell your personal data||If we need to use your personal data for an unrelated purpose, we will notify you and we will explain the legal basis which allows us to do so.||You have control on how we use Personal Data for marketing our own products and services.||We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you.",C1,we,not_collect,pii,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
co.touchlab.android.onesecondeveryday,we,not_collect,pii,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users.",C1,we,collect,pii,"We collect Personal Data about you that you provide to us or that we obtain while you are using our Services.||We will receive personal data about you from various third parties as set out below technical Data from the following parties:||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||Most commonly, we will use your personal data in the following circumstances: where we need to perform the contract we are about to enter into or have entered into with you.||If a child under the age of 16 has provided us with Personal Data, we ask that a parent or guardian contact us at privacy@1secondeveryday.com.||We do not use your personal data for activities where our interests are overridden by the impact on you (unless we have your consent or are otherwise required or permitted to by law).||We will only use your personal data when the law allows us to.||We collect this personal data by using cookies, server logs and other similar technologies.||We have set out below, in a table format, a description of all the ways we plan to use your personal data, and which of the legal bases we rely on to do so.||Most commonly, we will use your personal data in the following circumstances: where it is necessary for our legitimate interests (or those of a third party) and your interests and fundamental rights do not override those interests.||We may collect personal data through behavioral tracking or associate personal information with other information collected through behavioral tracking as described in this privacy policy or our cookie policy.||Most commonly, we will use your personal data in the following circumstances: where we need to comply with a legal obligation.||We will only use your personal data for the purposes for which we collected it, unless we reasonably consider that we need to use it for another reason and that reason is compatible with the original purpose.||If you believe that a child under age 16 (or other age applicable in a different jurisdiction) has provided personal data to us on this website without the consent of a parent or guardian, or if you wish to delete your child's personal data collected from this website, please notify us at privacy@1secondeveryday.com.||Purposes for which we will use your personal data||However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.||We use Personal Data to provide you with our services, to build features that will make our services easier to use and available on our Sites, to contact you about our services, and to send advertisements, marketing material or other offers that we think might be of interest to you, to perform data analytics, or for other purposes permitted by law.||We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||However, please know that we do not sell your personal data||If we need to use your personal data for an unrelated purpose, we will notify you and we will explain the legal basis which allows us to do so.||You have control on how we use Personal Data for marketing our own products and services.||We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you."
co.touchlab.android.onesecondeveryday,third party,collect,pii,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||We do not allow our third-party service providers to use your personal data for their own purposes and only permit them to process your personal data for specified purposes and in accordance with our instructions.",N3,advertising network,not_collect,pii,We do not use or share your Personal Data for third-party marketing.||We do not use or share your personal data for any third-party marketing purposes.
co.touchlab.android.onesecondeveryday,third party,collect,pii,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||We do not allow our third-party service providers to use your personal data for their own purposes and only permit them to process your personal data for specified purposes and in accordance with our instructions.",C1,third party,not_collect,pii,"However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
co.touchlab.android.onesecondeveryday,we,collect,technical information,"As you interact with our website, we will automatically collect Technical Data about your equipment, browsing actions and patterns.",C6,we,not_collect,pii,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
co.touchlab.android.onesecondeveryday,we,collect,usage information,"We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you.",C6,we,not_collect,pii,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
co.touchlab.android.onesecondeveryday,third party,collect,information about you,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.,N4,advertising network,not_collect,pii,We do not use or share your Personal Data for third-party marketing.||We do not use or share your personal data for any third-party marketing purposes.
